ID_village,City,Subdistrict,Village,Positive,Recovery,Mortality,Vaccine_d1,Vaccine_d2,Vaccine_d3
3174081006,JAKARTA SELATAN,PANCORAN,CIKOKO,1951,1928,15,9107,8382,4762
3174061001,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,9978,9800,81,44425,41490,24356
3174041003,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,4474,4418,33,21605,19975,11222
3175101002,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,4415,4355,39,23836,21728,11385
3175041006,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,5123,5025,77,33734,29934,15446
3172041001,JAKARTA UTARA,CILINCING,CILINCING,3520,3450,59,36629,30981,17246
3175101001,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,5261,5174,41,22543,20735,11598
3174091006,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,5195,5109,60,33306,30302,15297
3174061005,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,4551,4461,53,22604,21277,12151
3174071010,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,4404,4304,56,28971,26255,13873
3175021003,JAKARTA TIMUR,PULO GADUNG,CIPINANG,5593,5463,90,33899,30666,17967
3175031007,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,4244,4163,46,29215,25491,12718
3175031008,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,3913,3821,67,37391,32362,15007
3175031005,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,4490,4386,62,27193,24952,14233
3175081005,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,5694,5589,75,35973,32978,19872
3175031006,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,7699,7504,125,46257,41508,23037
3174051003,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,4328,4235,59,33393,29806,14854
3175091001,JAKARTA TIMUR,CIRACAS,CIRACAS,8225,8057,125,55280,49426,26870
3175041003,JAKARTA TIMUR,KRAMAT JATI,DUKUH,3277,3209,43,21105,18868,9398
